,Organization,Name,Farm,Address,Latitude,Longitude
65,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA ALVORADA – FRITZEN,MONTE ALEGRE - PI,-9.375476,-45.35193833333334
66,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Santana,Riachão das Neves - BA,-11.676155555555555,-45.72196666666667
67,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Santa Clara,Bom Jesus - PI,-9.144477777777777,-45.06604722222222
68,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Agro Chapada,Paranatinga - MT,-13.55915,-54.31106944444444
69,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Pau Brasil,Campos Lindos - TO,-8.068769444444444,-46.562949999999994
70,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Santo Antônio Khon,Formosa do Rio Petro – BA,-8.237441666666665,-46.65549722222222
71,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Sapucai,Luiz Eduardo Magalhães – BA,-12.250475,-45.86673888888889
72,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Sapucai Semear,Riachão das Neves – BA,-11.4926,-45.230472222222225
73,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Santo Antônio,Barreiras - BA,-11.71511111111111,-45.97925277777778
74,GMS Agronegócio ,GMS Agronegócio Ltda,Fazenda Uirapuru,Nova Mutum – MT,-14.143727777777777,-56.63576527777778
75,Produzindo Certo,Produzindo Certo–Grupo Castrolanda,Agropecuária Romi,"Agropecuária Romi, Estrada Capão Alto, Km 6, Castro/PR",-49.902293,-24.739889
76,Produzindo Certo,Produzindo Certo–Grupo Castrolanda,Bom Sucesso,"Fazenda Bom Sucesso, Bairro Bom Sucesso, Itararé/SP",-49.182219,-24.154856
77,Girassol Agrícola,Girassol Agrícola Ltda,Fazenda Girassol,"Rodovia BR 364, Km 117, Zona Rural, Pedra Preta - Mato Grosso, Brasil.",-16.8375,-54.04222222222222
78,Fazenda Modelo,Fazenda Modelo,Fazenda Modelo,"Rodovia BR 070 - KM 350, Campo Verde, Mato Grosso, Brasil",-15.477500000000001,-54.91222222222222
79,Agropastoril Jotabasso,Agropastoril Jotabasso Ltda-Fazenda Verde,FAZENDA VERDE,Rondonópolis- MT,-16.58431388888889,-54.85796944444444
80,Amaggi,Amaggi Exp Imp Ltda–Grupo III,25 de Dezembro,"ESTRADA VERA X FELIZ NATAL KM 23, SORRISO-MT",-12.2564,- 55.0715
81,Amaggi,Amaggi Exp Imp Ltda–Grupo III,Boa Esperança,"ROD MT 338 KM 62, SORRISO-MT",-12.8999,- 56.3688
82,Amaggi,Amaggi Exp Imp Ltda–Grupo III,Caimbé,"ROD MT 130 KM 80 + 15KM A ESQUERDA, SANTO ANTONIO DO LESTE-MT",-14.8251,- 54.1653
83,Amaggi,Amaggi Exp Imp Ltda–Grupo III,Calixbento,"ROD BR 153, KM 203, S/N, MATUPÁ-MT",-10.8249,- 55.9555
84,Amaggi,Amaggi Exp Imp Ltda–Grupo III,Carajás,"ROD BR 364 KM 1107, S/N, SAPEZAL-MT",-13.4167,- 58.7736
85,Amaggi,Amaggi Exp Imp Ltda–Grupo III,Cedro,"ESTRADA LINHA 12 SETOR 7 GLEBA, LUCAS DO RIO VERDE-MT",-12.9772,- 56.1877
86,Amaggi,Amaggi Exp Imp Ltda–Grupo III,Edwirges,"ESTRADA ALICE LOTE 114, SORRISO-MT",-12.2236,- 55.2898
87,Amaggi,Amaggi Exp Imp Ltda–Grupo III,Embu,"ESTRADA DO RODEADOR, MATUPÁ-MT",-9.7836,- 57.6221
88,Amaggi,Amaggi Exp Imp Ltda–Grupo III,Independencia,"ROD MT 336, PASSANDO SANTO ANTONIO DO LESTE + 12 KM A ESQUERDA, S/N, SANTO ANTONIO DO LESTE/MT",-14.8578,- 53.4922
89,Amaggi,Amaggi Exp Imp Ltda–Grupo III,Leonardo,"BR 364 KM 60 + 35 A DIREITA, S/N, ZONA RURAL Pedra Preta/MT",-17.0215,- 54.1986
90,Amaggi,Amaggi Exp Imp Ltda–Grupo III,Maria Madalena,"COMUNIDADE RONDON, MATUPÁ-MT",-10557,- 56.1193
91,Amaggi,Amaggi Exp Imp Ltda–Grupo III,Martelli II,ROD MT 338 KM 117 A ESQ MAIS 13 KM- RONDONÓPOLIS/MT,-12.4967,-56.7382
92,Amaggi,Amaggi Exp Imp Ltda–Grupo III,Mourão,"ROD BR 070 KM 349, CAMPO VERDE-MT",-15.4738,- 54.9054
93,Amaggi,Amaggi Exp Imp Ltda–Grupo III,Mutum,"ROD BR 070 KM 322 + 20KM A DIREITA, DOM AQUINO-MT",-15.4043,- 54.6051
94,Amaggi,Amaggi Exp Imp Ltda–Grupo III,Nossa Senhora Aparecida,"ROD DOS PIONEIROS MT 222 S/N, IPIRANGA DO NORTE-MT",-11.9215,- 56.1551
95,Amaggi,Amaggi Exp Imp Ltda–Grupo III,Nova/Horizonte/Passo Fundo,"ROD MT 336 SENTIDO TREVO DO GAUCHO P/ SANTO ANTONIO DO LESTE, KM 20 A ESQUERDA, S/N, SANTO ANTONIO DO LESTE/MT",-14.9278,- 53.8860
96,Amaggi,Amaggi Exp Imp Ltda–Grupo III,Pirapó,"ROD MT 242, KM 34,8 + 10KM, SORRISO-MT",-12.2178,- 55.8519
97,Amaggi,Amaggi Exp Imp Ltda–Grupo III,Planta,"ROD MT 235 KM 121 + 45 KM A ESQUERDA, S/N, SAPEZAL-MT",-13.8894,- 58.9020
98,Amaggi,Amaggi Exp Imp Ltda–Grupo III,Ponte de Pedra/Agrop Boa Vista,"RODOVIA BR 163 KM 102 A DIREITA MAIS 20 KM, RONDONÓPOLIS-MT",-16.7098,- 54.8092
99,Amaggi,Amaggi Exp Imp Ltda–Grupo III,Primavera/Flor do Campo,"ROD MT 130 KM 165, 40 KM DE PVA DO LESTE SENTIDO PARANATINGA - S/N - ENTRADA A DIREITA - PRIMAVERA DO LESTE",-15258,- 54.1440
100,Amaggi,Amaggi Exp Imp Ltda–Grupo III,Quatrilho,"LINHA MOROCÓ, KM 55 S/N, SORRISO – MT",-13.36,- 55.6689
101,Amaggi,Amaggi Exp Imp Ltda–Grupo III,Reata/Goiás,"RODOVIA MT 430 KM 59 A DIREITA MAIS 12 KM ATE A SEDE, CONFRESA-MT",-10.3552,- 52.4000
102,Amaggi,Amaggi Exp Imp Ltda–Grupo III,Reunidas São Roberto,"LINHA PAU OCO À 30 KM A ESQUERDA, RONDONÓPOLIS-MT",-12.6097,- 55.5120
103,Amaggi,Amaggi Exp Imp Ltda–Grupo III,Rio Bonito,"ROD MT 140 SENTIDO PARANATNGA 7 KM + 2 A ESQUERDA, S/N, SORRISO- MT",-13.5218,- 55.0770
104,Amaggi,Amaggi Exp Imp Ltda–Grupo III,Santa Rita,"ROD MT 322, S/N°, MATUPÁ-MT",-10.4447,- 54.1320
105,Amaggi,Amaggi Exp Imp Ltda–Grupo III,Santin Cavalcante,"ROD MT 404 KM 40, SORRISO-MT",-12.8816,- 55.5958
106,Amaggi,Amaggi Exp Imp Ltda–Grupo III,São Miguel SM5,"RODOVIA BR 163 KM 35, ITIQUIRA-MT",-17.1954,- 54.5083
107,Amaggi,Amaggi Exp Imp Ltda–Grupo III,Tanguro,"ROD MT 320 KM 104 MAIS 20 KM A DIREITA, QUERENCIA-MT",-12.8419,-52.3886
108,Amaggi,Amaggi Exp Imp Ltda–Grupo III,Três Rodas da Barra/São Luiz/Beira Rio,"ROD MT 322 A 25 KM DA SEDE, DISTRITO DE ESPIGÃO DO LESTE, SÃO FELIX DO ARAGUAIA-MT",-11.5182,- 52.4129
109,Aliança da Terra,Aliança da Terra Grupo IV,Água Santa,"Rodovia BR 452, Km 258, CEP: 38170-000, Caixa Postal 21, Perdizes – MG – Brasil",-47.364068,-19.36025
110,Aliança da Terra,Aliança da Terra Grupo IV,Bandeirantes,"Rodovia GO 220, Km 35, esquerda 20 Km, Zona Rural, CEP: 75.915-000, Montividiu – GO – Brasil",-51.367197,-17.42317
111,Aliança da Terra,Aliança da Terra Grupo IV,Boa Esperança,"Rodovia GO 174, Km 39, + 20 Km à direita, Rio Verde – GO – Brasil",-50.985993,-17.373805
112,Aliança da Terra,Aliança da Terra Grupo IV,Boa Vista,"Rodovia GO 405, CEP: 75.980-000, Paraúna – GO – Brasil",-51.461452,-17.354913
113,Aliança da Terra,Aliança da Terra Grupo IV,Bom Jardim e Primavera,"Rodovia GO 220, Km 27, Caixa Postal 515, CEP: 75.901-970, Montividiu – GO – Brasil",-51.461452,-17.354913
114,Aliança da Terra,Aliança da Terra Grupo IV,Bom Jardim (Dorothea),"Rodovia Montividiu-Caiapônia, Km 15 à direita, CEP: 75.915-000, Zona Rural, Montividiu – GO – Brasil",-51.32331,-17.286756
115,Aliança da Terra,Aliança da Terra Grupo IV,Bom Jardim (Marcelo),"Rodovia GO 220, Km 15 à direita, CEP: 75.980-000, Zona Rural, Montividiu – GO – Brasil",-51.329665,-17.281813
116,Aliança da Terra,Aliança da Terra Grupo IV,Brasilanda,"Rodovia GO 174, Km 40 + 1 Km à esquerda, Rio Verde – GO – Brasil",-51.275933,-17.492133
117,Aliança da Terra,Aliança da Terra Grupo IV,Cachoeirinha,"Rodovia GO 220, Km 60, CEP: 75.850-000, Zona Rural, Caiapônia – GO – Brasil",-51.645517,-17.238443
118,Aliança da Terra,Aliança da Terra Grupo IV,Cana Verde,"Rodovia GO 174, Km 90, CEP: 75.850-000, Zona Rural, Rio Verde – GO – Brasil",-51.118167,-17.069333
119,Aliança da Terra,Aliança da Terra Grupo IV,DME,"Rodovia MG 410, Km 51, Zona Rural, Presidente Olegário – MG – Brasil",-46.426303,-18.072217
120,Aliança da Terra,Aliança da Terra Grupo IV,Gameleira,"Rodovia MG 410, Km 51, Presidente Olegário – MG – Brasil",-46.35671,-17.836257
121,Aliança da Terra,Aliança da Terra Grupo IV,Mata do Lobo,"Rodovia BR 452, Km 41 à direita, Rio Verde – GO – Brasil",-50.736345,-18.121277
122,Aliança da Terra,Aliança da Terra Grupo IV,Mauá,"Rodovia GO 174, Km 60 – Montividiu – GO – Brasil",-51.344025,-17.235353
123,Aliança da Terra,Aliança da Terra Grupo IV,Monte Alegre,"Avenida José Walter, nº 845, Setor Morada do Sol, CEP:75.908-780, Rio Verde – GO – Brasil",-51.42451,-17.49837
124,Aliança da Terra,Aliança da Terra Grupo IV,Monte Alegre/ Pindaíbas,"Rodovia GO 333, Km 45, Rio Verde – GO – Brasil",-50.821303,-17.402428
125,Aliança da Terra,Aliança da Terra Grupo IV,Pai Manoel,"Rodovia BR 060, Km 425, Rio Verde – GO – Brasil",-51.28907,-17.739327
126,Aliança da Terra,Aliança da Terra Grupo IV,Paraíso do Rio Preto,"Rodovia BR 452, Km 41, Zona Rural, Rio Verde – GO – Brasil",-50.792807,-18.066978
127,Aliança da Terra,Aliança da Terra Grupo IV,Paraíso Rio Preto e Renala,"Rodovia BR 452, Km 01, Zona Rural, Rio Verde – GO – Brasil",-50.787721,-18083
128,Aliança da Terra,Aliança da Terra Grupo IV,Santa Fé,"Zona Rural, Uberlândia – MG – Brasil",-48.03494,-19.222047
129,Aliança da Terra,Aliança da Terra Grupo IV,Santa Mônica e Felicidade,"Rodovia BR 060, Km 373 + 3 Km à esquerda, CEP: 75.900-000, Zona Rural, Rio Verde – GO – Brasil",-50.812352,-17.728242
130,Aliança da Terra,Aliança da Terra Grupo IV,Santa Rita e arrendamento,"Rodovia GO 050, Km 14, Zona Rural, CEP 75.980-000, Paraúna – GO – Brasil",-50.525807,-17.204747
131,Aliança da Terra,Aliança da Terra Grupo IV,São Francisco,"Rodovia BR 060, Km 422 + à direita 60 Km, Zona Rural, Rio Verde – GO – Brasil",-51.601532,-17.492395
132,Aliança da Terra,Aliança da Terra Grupo IV,São João,"Rodovia 365, Km 351, Zona Rural, Varjão de Minas / MG – Brasil",-46.056212,-18.42833
133,Aliança da Terra,Aliança da Terra Grupo IV,São José,"Rodovia GO 050, Km 227 + 5 Km à esquerda, Zona Rural, Rio Verde – GO – Brasil",-51.078808,-17.206031
134,Aliança da Terra,Aliança da Terra Grupo IV,São Sebastião,"Rodovia GO 174, Km 40 + 1 Km à esquerda + 32 Km, Rio Verde – GO – Brasil",-51.464028,-17.524475
135,Aliança da Terra,Aliança da Terra Grupo IV,São Tomaz,"Rodovia BR 060, Km 407 à esquerda, Zona Rural, Rio Verde – GO – Brasil",-51.115422,-17.819058
136,Aliança da Terra,Aliança da Terra Grupo IV,Segredo,"Rodovia GO 174, Km 39, à esquerda 38 Km, Zona Rural, Rio Verde – GO – Brasil",-47.707017,-18.861594
137,Aliança da Terra,Aliança da Terra Grupo IV,Speggiorini,"Rodovia 365, Km 556 + 7 Km, Estrela do Sul / MG – Brasil",-47.707017,-18.861594
138,Aliança da Terra,Aliança da Terra Grupo IV,Tropical,"Rodovia GO 220, Km 21,5 sentido Montividiu-Caiapônia, Zona Rural, CEP 75.915-000, Montividiu – GO – Brasil",-51.403618,-17.394317
139,Aliança da Terra,Aliança da Terra Grupo IV,Vargem Grande,"Rodovia GO 220, Km 17, Montividiu – GO – Brasil",-51.483038,-17.371451
140,Aliança da Terra,Aliança da Terra Grupo IV,"Vargem Grande, Planalto Verde e Unidas","Rodovia BR 452, Km 01, Zona Rural, Rio Verde – GO – Brasil",-51.58419667,-17.43054833
141,Aliança da Terra,Aliança da Terra Grupo IV,Vitória,"Rodovia GO 174, Km 45 à esquerda (Cana Verde), após o trevo de Montividiu, Zona Rural, Rio Verde – GO – Brasil",-51.475864,-17.43818
142,Grupo Hervalense,Grupo Hervalense,Hervalense,"Rodovia BR-364 KM-650, Zona rural de Diamantino/MT.",-14.18673888888889,-56.62916111111111
143,Grupo Hervalense,Grupo Hervalense,Chapadão,"Rodovia BR-364 KM-695, Zona rural de Diamantino/MT.",-14.131436111111112,-57.0099
144,Grupo Hervalense,Grupo Hervalense,Lagoa do Cervo,"Rodovia BR-364 KM-696, Zona rural de Diamantino/MT.",-14.467827777777778,-56.20327777777778
