Criteria,Text,Describe,Reco
3.3,"A complaints and grievance mechanism is in place and accessible to the local community (including indigenous peoples), staff, other workers and traditional land users. Note: In group certification, the complaints and grievances mechanism can be administered by the group manager and records of complaints and grievances can be kept for the group as a whole",3.3.1 Documentary evidence on complaints and grievances is received and maintained. 3.3.2 All complaints and grievances received are dealt with appropriately and in a timely manner.,"Guideline 3.3.1 Anonymous complaints will also be dealt with. Guideline 3.3.2 If the producer receives a complaint, they are obliged to send a response within 30 days of receiving the complaint to acknowledge its receipt and/or begin to resolve the issue."
3.4,"Fair employment opportunities and provision of goods and services are offered to the local population, regardless of gender or race.","3.4.1 Employment opportunities are advertised locally. 3.4.2 Whenever possible, there is collaboration with training programs aimed at the local population (including, for example, indigenous peoples). Note: Small farms can participate in training programs, if they exist. In the case of groups, collaboration with training programs can take place at the group level. 3.4.3 Opportunities regarding the provision of goods and services are offered to local communities.  ","Evidence may include records on the proportion of local employees employed on the farm. If it is not possible to apply this indicator, justification should be provided to the auditor.Guidance 3.4.3 Refers to goods and services central to production activities. Evidence includes quotes for services received from local suppliers. "
4.1,"The on- and off-site social and environmental impacts have been assessed and appropriate measures have been taken to minimize and mitigate any negative impacts Note: In group certification of small farms, Indicators 4.1.1, 4.1.2, 4.1.3, 4.1.4 and 4.1.5 can be part of the SCI at group level and can also be fulfilled at group level. ","4.1.1 An initial social and environmental assessment is carried out before the first certification audit1 (see also Indicator 1.3.1). This assessment needs to be repeated before operations are expanded. 4.1.2 The assessment is carried out by a person adequately trained and experienced in this task. 4.1.3 The assessment is carried out in a comprehensive and transparent manner. 4.1.4 Measures to minimize or mitigate the impacts identified by the assessment are being documented, implemented and monitored. 4.1.5 A summary of the social and environmental assessment report shall be made available upon request.  ","The assessment shall be appropriate to the scale of the operation. In group certification of small producers, separate groups located in similar areas and facing similar issues can exchange information when preparing and/or carrying out the assessment. However, the reports must be drawn up for the group as a whole. If there are national requirements regarding impact assessments that are appropriate for compliance with this Criterion (identified by the NTF), these requirements must be followed. Where there are no national requirements, the auditors should check that an appropriate process has been followed (e.g. ""the Equator Principles Environmental and Social Assessment Procedure"") Guidance 4.1.1 This assessment should identify endemic, rare, threatened or endangered species (see also indicator 4.5.3).  "
4.2,Pollution is minimized and production waste is managed responsibly. Note: The use and disposal of chemicals is dealt with under Principle 5.,"4.2.1 There is no intentional burning anywhere on the property, whether of plant residues, waste or to clear vegetation. 4.2.2 All waste is properly stored and disposed of (e.g. fuel, batteries, tires, lubricants, sewage).  4.2.3 Adequate structures are in place to prevent spills of oil2 and other pollutants.  4.2.4 Reuse and recycling take place whenever possible.  4.2.5 There is a waste management plan, including all areas of the property.","4.2.1 There are three exceptions to this rule: a) when there is a legal obligation to carry out burning as a sanitary measure; b) when the burned material is used as fuel for drying crops; c) to fight fires Guidance 4.2.2 If there are national rules on the safe storage and disposal of different types of hazardous waste, they must be complied with. In the absence of regulatory rules, advice should be sought on the best options available and recommendations made. All waste disposal and composting areas on the farm (e.g. for household waste) should be a safe distance from living areas and/or waterways. Measures must be taken to ensure that the farm is clean and tidy. Plastic and other waste should not be left in fields, on field margins, around the farm or on roadsides. Farmers and workers must not throw garbage and other general waste into ditches, streams or wells.  Waste management must take place at the production stage through the management, storage, transportation and disposal of waste streams; there must be no landfilling or uncontrolled dumping of waste in areas not officially designated as landfills. The farm must have a defined procedure for dealing with pollution incidents and mitigating possible damage from contamination and leaks.  Guideline 4.2.4 The producer should adopt Circular Economy practices or explain why they do not apply recycling, if they do not use it and in cases where it would be easy to do so.  Guideline 4.2.5 Waste includes non-organic and organic solid waste, as well as wastewater resulting from the operation (e.g. for cleaning equipment and tanks). In the case of large and medium-sized producers, this should be documented. On small or family farms, producers only need to know what waste is generated on their property and what is done with each of them."
4.3,"There are efforts to reduce emissions and increase sequestration of Greenhouse Gases (GHG) on the farm.  Note: Other issues relevant to GHG emissions are addressed in other principles, including: Fertilizer use (Criterion 5.5), Land use change (Criterion 4.4).   ","4.3.1 The total and direct use of fossil fuels is recorded over time; the volume per hectare and per unit of product is monitored in all activities related to soy production 4.3.2 If there is an increase in the intensity of fossil fuel use, this increase is justified. If there is no justification, there is an action plan to reduce use. Note: In group certification of small producers, Indicators 4.3.1 and 4.3.2 can be part of the SCI at group level.  4.3.3 Soil organic matter is monitored to quantify changes in soil carbon; action is taken to improve or at least mitigate negative trends. Note on 4.3.3: in the case of individual smallholders, compliance with Criterion 5.3 is considered sufficient. In Group Certification of small producers, soil carbon monitoring must be carried out, which can be done through sampling.  4.3.4 Opportunities to increase carbon sequestration through restoration of native vegetation, forest plantations and other means are identified and, where possible, implemented.","The producer shall draw up a plan demonstrating how it will comply with this criterion. The plan should show which targets (% reduction and by when) have been set for which areas, as well as the measures to be taken to achieve these targets.  Guideline 4.3.1 On multi-crop farms, the use of fossil fuels in soybean production should be estimated. 'Activities related to soybean production' include: field operations and transportation on the farm, carried out by both the producer and third parties.  Guideline 4.3.2 There may be annual fluctuations in the intensity of fossil fuel use, due to natural variations in productivity. This trend should be monitored over a period of several years. An example of justification for increasing the intensity of fossil fuel use might be when a crop is lost due to drought and needs to be restarted. The use of renewable energies (biofuels, biogas, solar and wind energy, etc.) is encouraged on the farm. In the case of replacing electricity with renewable energies, the savings equivalent to the use of fossil fuels must be quantified.  Guideline 4.3.4 If producers are unable to implement the opportunities identified to increase carbon sequestration, a justification should be provided to the auditor. Other means may include:  Passively restoring headquarters and roadsides Planting forests Cover crops in non-productive and degraded areas, as well as floodplains or lowlands.  Conserving non-native plantations that were previously used as shade for livestock Building and maintaining ecological corridors to protect biodiversity Note: The implementation of ecological corridors to protect biodiversity requires specific technical guidance from experts in the field."
4.4,The expansion of soybean cultivation is responsible.,"4.4.1 As of May 2009, the following areas have not been cleared or converted: 4.4.1.a When RTRS maps are available: all areas included in Category 1 of maps 3. 4.4.1.b when no RTRS maps are available: a) native forests; b) riparian forests; c) natural wetlands; d) steep slopes; e) areas designated by law to serve the purpose of native conservation and/or cultural and social protection.  4.4.1.c when there are unresolved claims over the use of the land by the traditional users of the land in dispute, without agreement between the parties.  4.4.2 After June 3, 2016, no conversion of natural lands (see Glossary) or steep slopes and in areas designated by law to serve the purpose of native conservation and/or cultural and social protection is allowed.","Guidance 4.4 for Certification Bodies Data collection requirements for future Payment for Environmental Services (PES) schemes: The date of registration of the producer for certification purposes is recorded by the Certification Body. During the certification audit, the area and vegetation types of all voluntary reserves of native vegetation (which go beyond legal requirements) are recorded. After certification, details of the date of registration for certification purposes and the area and vegetation type of the voluntary reserves are entered into an RTRS register. When the RTRS draws up a PES scheme, payments are available retroactively to the date of registration.  The Accountability Framework definitions are recognized for the applicability of these criteria. Guideline 4.4.1 If conversion/compensation occurs due to legal requirements (at national or local level) or verifiable emergency (e.g. firebreak), this indicator does not apply. Legal obligations can include - but are not limited to - the need for roads, transmission lines, etc. Under certain circumstances, a minimum level of conversion may occur if there is a restoration plan in place. Please refer to Annex 8 and the definition of ""minimum conversion level"" in the glossary, according to the Accountability Framework Initiative. Guideline 4.4.1.c Traditional land users shall provide reasonable evidence that they have been exercising use or access to the property area for the 10 years prior to May 2009."
4.5,The farms biodiversity is maintained and safeguarded through the preservation of native vegetation.,"4.5.1 There is a map of the farm indicating native vegetation, production areas and watercourses (see 5.2.1). 4.5.2 There is a plan in place and monitoring to ensure that native vegetation and wildlife are maintained. 4.5.3 Endemic, rare, threatened or endangered species present permanently or temporarily on the property are protected. Hunting or collecting these species is not permitted. 4.5.4 On farms with less than 10% native vegetation (but in compliance with 4.4 and 5.2, as well as other related indicators), producers must implement and promote conservation activities on, off or around the farm to encourage wildlife and the restoration of native vegetation.","Guidance 4.5.1 The map and plan shall be appropriate to the size of the operation. In group certification, the group manager may maintain the map centrally and may be responsible for maintaining and developing a conservation plan. Guideline 4.5.2 The plan should include at least the following:  Identification of existing native vegetation and wildlife on the farm.  Indicators and baseline of the state of native vegetation and wildlife.  Measures to preserve native vegetation and wildlife.  Monitoring. Annex 5 provides an example of how to draw up a plan for this indicator. The plan is carried out by a person suitably trained and experienced in this task (as in 4.1.2). As a form of corroboration, this person will provide evidence of having attended courses and training, as well as the experience described in their CV.  Guidance 4.5.4 Some activities that producers can carry out to comply with this indicator are but are not limited to the following: leaving corridors or restoring fenced borders or paths, restoring degraded or unproductive areas, supporting conservation or restoration activities outside the farm boundaries (but related to local fauna and native vegetation) - e.g. the creation of forest seedling nurseries for later donation to organizations working to establish species and collaboration with institutions focused on conservation activities. This support can be offered through funding or the provision of resources, materials, personnel, etc. Producers can create groups to fulfill this indicator. Producers can organize activities together in order to promote conservation activities on, off or around the farm."
5.1,The quality and supply of surface and groundwater is maintained or improved.,"5.1.1 Good agricultural practices are implemented to promote aquifer recharge and minimize diffuse and localized impacts of chemical residues, fertilizers, erosion or other sources on surface and groundwater quality. 5.1.2 There is a plan that includes monitoring and mitigation measures according to the risks identified and the plan is applicable to the scale. 5.1.3 Any direct evidence of localized contamination of groundwater or surface water is reported and monitored in collaboration with local authorities.  5.1.4 Where irrigation takes place, there is a documented procedure regarding the application of best practices and compliance with legislation. Note: In group certification of small farms - when irrigation is used with crops other than soy, but is not carried out according to best practices - there is a plan in place to improve practices. The group manager is responsible for documentation.  5.1.5 The different uses of water on the farm should be identified.  In activities that use larger volumes of water, the producer must find a way to monitor it. Actions should be implemented to reduce water use wherever possible. ","Guideline 5.1.2 The monitoring plan should define parameters - e.g. pH, temperature, dissolved oxygen, turbidity and electrical conductivity, contamination levels and appropriate testing frequency. Monitoring should be considered at a watershed level. Where wells exist, they should be used to monitor groundwater. The testing laboratory should be independent, but does not necessarily need to be certified.  Guideline 5.1.4 Where irrigation takes place, other potential uses should be considered - such as domestic use or use on other food crops. If there is a shortage of water, human consumption will take priority. For new irrigation systems, an environmental impact assessment is required.  Guideline 5.1.5 Legal and regulatory requirements are sufficient for compliance with this indicator "
5.2,Areas of natural vegetation around springs and along natural watercourses are maintained or restored.,"5.2.1 The locations of all watercourses have been identified and mapped, including the status of riparian vegetation. 5.2.2 In riparian areas where natural vegetation has been removed, there is a plan in the process of being implemented with a restoration schedule.  5.2.3 Natural wetlands are not drained and native vegetation is maintained","Guideline 5.2.2 This indicator applies the requirements of criterion 4.4.  Guideline 5.2.3 The deadline for natural wetlands is May 2009. In smallholder group certification, group managers may maintain the maps centrally and may be responsible for maintaining and developing restoration plans."
5.3,"Soil quality is maintained or improved and erosion is prevented through good management practices. Note: In group certification of small producers, monitoring of soil fertility and quality must be part of the internal control system and can be carried out on a sample basis in the group.","5.3.1 Adequate monitoring of soil quality already takes place, including the collection of samples for fertility assessment.  5.3.2 Knowledge of techniques to preserve the quality (physical, chemical and biological) of the soil is demonstrated and these techniques are implemented. At least 20% of the production area must be no-till. Producers who are unable to meet this threshold will need to justify why.  5.3.3 Knowledge of soil erosion control techniques is demonstrated and these techniques are properly implemented.  5.3.4 A crop rotation plan should be drawn up to avoid planting soybeans immediately on soybeans and to allow a time interval in the field in question. During this interval, a second crop or pasture should be grown or, at the very least, the land should be left fallow or under vegetation cover to regenerate.  This plan should consider adaptation to the specific climatic and agro-ecological conditions of the region.","Guideline 5.3.1 Select appropriate monitoring indicators, which should be based on the main issues relating to the type of production and the region. Whatever the monitoring indicators, they should be simple and produce reliable information. Some suggestions include: Analysis of organic matter, total nitrogen (N) (total N can be estimated at 5% of organic matter), phosphorus (P), pH, electrical conductivity, measurement of surface residues (quality and quantity 30 days before the average sowing date, with a tolerance of +\- 10 days).  Guideline 5.3.2 and 5.3.3 Soil quality maintenance techniques may include:  Conservation agriculture.  Crop rotation.  Precision agriculture Nitrogen-fixing plants Green manures Balanced fertilization. Soil erosion control techniques can include:  Management of roads within the farm.  Managing sloping areas.  Maintaining permanent soil cover.  No-till planting.  Contour seeding Guidance 5.3.3. The RTRS recognizes that not all producers will be able to transition all their crops to no-till in the short term, so it encourages producers to plan for the progressive implementation of no-till over time. The soil management plan should contain at least the following information:  Soil sampling Crop rotation plan, including rotation with grasses Cover crop plan Type, quality and timing of fertilization, with efforts to keep current fertilization levels to a minimum.  Measures to prevent soil compaction Tools to prevent wind and water erosion.  The plan will last at least one full rotation and will be carried out by the Agronomist in charge.  Guidance 5.3.4 The RTRS encourages producers to employ crop rotation. If the following plan is not possible, producers must justify their decision."
