Organization,Name,Farm,Address,Latitude,Longitude
Tecnosol Consultoria Rural,Tecnosol Consultoria Rural LTDA,FAZENDA SANTA RITA,GO 330 KM 212 A ESQUERDA 14 KM,,
Agropecuaria Andrade,Agropecuaria Andrade,FAZENDA ALVORADA,,"52º43'27,74'' O","18º29'26,36'' S"
Agropecuaria Andrade,Agropecuaria Andrade,ESTANCIA ETANER,,"52º49'41,7'' O","18º44'17,68'' S"
Agropecuaria Andrade,Agropecuaria Andrade,FAZENDA SANTO ANTONIO,,"54º47'59,97''O","20º23'15,56''S"
Agropecuaria Andrade,Agropecuaria Andrade,FAZENDA SAVANA,,"52º44'34,85'' O","18º39'22,63'' S"
GGF Agro,GGF Agro LTDA,Fazenda Água Santa,"Rodovia BR163, KM 675, S/N, Zona Rural, A esquerda mais 5 KM, Lucas do Rio Verde/MT","13º11'21,2 60''","56º02'07,9 00''"
GGF Agro,GGF Agro LTDA,Fazenda Pau da Onça,"RODOVIA MT 485, KM 100, S/N, Zona Rural, Estrada do Moroco, Santa Rita do Trivelato/MT","13º39'59,6 16''","55º23'37,6 38''"
Archer-Daniels-Midland Company (ADM),ADM do Brasil -Grupo Mato Grosso do Sul,Fazenda Zilmar,São Gabriel do Oeste – MS,19º15'14.5 7''S,54º31'29.5 4''O
Archer-Daniels-Midland Company (ADM),ADM do Brasil -Grupo Mato Grosso do Sul,Fazenda Flamboyant,São Gabriel do Oeste – MS,"19º14'52,7 9'' S","54º29'40,3 9'' O"
Archer-Daniels-Midland Company (ADM),ADM do Brasil -Grupo Mato Grosso do Sul,Fazenda Cachoeira,São Gabriel do Oeste – MS,"19º30'03,1 9'' S","54º35'53,5 5'' O"
Archer-Daniels-Midland Company (ADM),ADM do Brasil -Grupo Mato Grosso do Sul,Fazenda São Luiz,São Gabriel do Oeste – MS,"19º12'59,8 4'' S","54º32'58,7 7''O"
Archer-Daniels-Midland Company (ADM),ADM do Brasil -Grupo Mato Grosso do Sul,Fazenda Boa Vista,São Gabriel do Oeste – MS,"19º24'41,5 2'' S","54º38'03,6 1'' O"
Archer-Daniels-Midland Company (ADM),ADM do Brasil -Grupo Mato Grosso do Sul,Fazenda Nascente do Brioso,São Gabriel do Oeste – MS,"19º31'54,7 7'' S","54º31'21,2 3'' O"
Archer-Daniels-Midland Company (ADM),ADM do Brasil -Grupo Mato Grosso do Sul,Fazenda Minina Linda,São Gabriel do Oeste – MS,"19º24'28,9 9'' S","54º37'04,0 5'' O"
Archer-Daniels-Midland Company (ADM),ADM do Brasil -Grupo Mato Grosso do Sul,Fazenda Ponte de Pedra 2,São Gabriel do Oeste – MS,"19º20'00,8 3'' S","54º29'27,0 4'' O"
Archer-Daniels-Midland Company (ADM),ADM do Brasil -Grupo Mato Grosso do Sul,Fazenda Suez,Sonora – MS,"17º37'41,5 9'' S","54º33'21,4'' O"
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA AGRO BOA VISTA,BALSAS - MA,8.597150º,46.639218 º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA CERTEZA,BALSAS - MA,8.118607º,45.870153º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA CHAPADÃO,TASSO FRAGOSO – MA,8.651808º,45.945183º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA SAPUCAÍ,TASSO FRAGOSO - MA,8.297231º,45.769278º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA GUAÍRA,FORTALEZA DOS NOGUEIRAS – MA,7.088961º,45.945405º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA CAIUÁ,BALSAS - MA,8.430479º,46.618932º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA SEIS IRMÃOS,RIACHÃO - MA,7.447427º,46.326400º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA JAPURÁ,SANTA FILOMENA - PI,8.721907º,45.570364º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA ALVORADA,SÃO DESIDÉRIO - BA,12.423922º,46.2506222º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA TAKAHASHI,BALSAS - MA,8.678837º,46.665834º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA LAGOA ENCANTADA,PRIMAVERA DO LESTE - MT,15.266706º,54.263947º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA ESCONDIDO,BALSAS - MA,7.963056º,45.924650º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA PIRACICABA,TASSO FRAGOSO - MA,7.965008º,45.752163º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA ANGICOS,TASSO FRAGOSO - MA,8.125459º,45.789736º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA GUARANI,SÃO DESIDÉRIO - BA,12.902398 º,46.194599º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA ORQUÍDEAS,BARREIRAS - BA,11.842230 º,46.244109º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA CAMPO ABERTO BARREIRAS – BA,BARREIRAS - BA,11.793402 º,45.958693º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA BAIXÃO PRETO,RIACHÃO - MA,8.191716º,46.461772º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA  AGROMANTOVA  - BATAVO,BALSAS - MA,8.520959º,46.749241º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA TABATINGA,ALTO PARNAÍBA – MA,8.994900º,46.559639º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA TERRA NOVA,TASSO FRAGOSO - MA,8.672696º,46.011546º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA ARAPUÃ,BALSAS - MA,8.124330º,46.14611º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA APUÃ,BALSAS - MA,8.041355º,45.976106º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA NOSSA SENHORA DAS GRAÇAS,TASSO FRAGOSO - MA,8.135828º,46.133402º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA SAMA,LUIZ EDUARDO MAGALHÃES - BA,12.214789 º,45.958782º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA CONDOMINIO IRMÃOS GATTO,BARREIRAS - BA,11.837680 º,46.289570º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA CABECEIRA,TASSO FRAGOSO - MA,8.447452º,45.937696º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA TEATINO,BALSAS - MA,7.960087º,45.809129º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA TRADIÇÃO,RIBEIRO GONÇALVES - PI,7.798658 º,45.054773º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA GBC,CORRENTINA - BA,13.504164 º,46.113412º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA PARANÁ,CORRENTINA - BA,13.740469 º,46.140271º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA PORTO ALEGRE,CORRENTINA - BA,12.804929 º,45.656859º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA FAVEIRA,TASSO FRAGOSO - MA,7.849968º,45.778352º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA ALVORADA – FRITZEN,MONTE ALEGRE - PI,9.375476º,45.21697 8º
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Santana,Riachão das Neves - BA,11º40'34.1 6''S,45º43'19.0 8''O
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Santa Clara,Bom Jesus - PI,09º08'40.1 2''S,45º03'57.7 7''O
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Agro Chapada,Paranatinga - MT,13º33'32.9 4''S,54º18'39.8 5''O
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Pau Brasil,Campos Lindos - TO,08º04'07.5 7''S,"46º33'46,6 2''O"
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Santo Antônio Khon,Formosa do Rio Petro – BA,08º14'14.7 9''S,46º39'19.7 9''O
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Sapucai,Luiz Eduardo Magalhães – BA,12º15'01.7 1''S,45º52'00.2 6''O
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Sapucai Semear,Riachão das Neves – BA,11º29'33.3 6''S,45º13'49.7 0''O
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Santo Antônio,Barreiras - BA,11º42'54.40''S,45º58'45.31''O
GMS Agronegócio ,GMS Agronegócio Ltda,Fazenda Uirapuru,Nova Mutum – MT,13º68'3742'' S,55º98'8755''O
Produzindo Certo,Produzindo Certo–Grupo Castrolanda,Agropecuária Romi,"Agropecuária Romi, Estrada Capão Alto, Km 6, Castro/PR","-49,902293","-24,739889"
Produzindo Certo,Produzindo Certo–Grupo Castrolanda,Bom Sucesso,"Fazenda Bom Sucesso, Bairro Bom Sucesso, Itararé/SP","-49,182219","-24,154856"
Girassol Agrícola,Girassol Agrícola Ltda,Fazenda Girassol,"Rodovia BR 364, Km 117, Zona Rural, Pedra Preta - Mato Grosso, Brasil.","16º50'15""S","54º02'32""W"
Fazenda Modelo,Fazenda Modelo,Fazenda Modelo,"Rodovia BR 070 - KM 350, Campo Verde, Mato Grosso, Brasil",15º28'39'' S,54º54'44'' W
Agropastoril Jotabasso,Agropastoril Jotabasso Ltda-Fazenda Verde,FAZENDA VERDE,Rondonópolis- MT,"16º35'03.53"" S",54º51'28.69'' O
Amaggi,Amaggi Exp Imp Ltda–Grupo III,25 de Dezembro,"ESTRADA VERA X FELIZ NATAL KM 23, SORRISO-MT",-12.2564,- 55.0715
Amaggi,Amaggi Exp Imp Ltda–Grupo III,Boa Esperança,"ROD MT 338 KM 62, SORRISO-MT",-12.8999,- 56.3688
Amaggi,Amaggi Exp Imp Ltda–Grupo III,Caimbé,"ROD MT 130 KM 80 + 15KM A ESQUERDA, SANTO ANTONIO DO LESTE-MT",-14.8251,- 54.1653
Amaggi,Amaggi Exp Imp Ltda–Grupo III,Calixbento,"ROD BR 153, KM 203, S/N, MATUPÁ-MT",-10.8249,- 55.9555
Amaggi,Amaggi Exp Imp Ltda–Grupo III,Carajás,"ROD BR 364 KM 1107, S/N, SAPEZAL-MT",-13.4167,- 58.7736
Amaggi,Amaggi Exp Imp Ltda–Grupo III,Cedro,"ESTRADA LINHA 12 SETOR 7 GLEBA, LUCAS DO RIO VERDE-MT",-12.9772,- 56.1877
Amaggi,Amaggi Exp Imp Ltda–Grupo III,Edwirges,"ESTRADA ALICE LOTE 114, SORRISO-MT",-12.2236,- 55.2898
Amaggi,Amaggi Exp Imp Ltda–Grupo III,Embu,"ESTRADA DO RODEADOR, MATUPÁ-MT",-9.7836,- 57.6221
Amaggi,Amaggi Exp Imp Ltda–Grupo III,Independencia,"ROD MT 336, PASSANDO SANTO ANTONIO DO LESTE + 12 KM A ESQUERDA, S/N, SANTO ANTONIO DO LESTE/MT",-14.8578,- 53.4922
Amaggi,Amaggi Exp Imp Ltda–Grupo III,Leonardo,"BR 364 KM 60 + 35 A DIREITA, S/N, ZONA RURAL Pedra Preta/MT",-17.0215,- 54.1986
Amaggi,Amaggi Exp Imp Ltda–Grupo III,Maria Madalena,"COMUNIDADE RONDON, MATUPÁ-MT",-10.5570,- 56.1193
Amaggi,Amaggi Exp Imp Ltda–Grupo III,Martelli II,ROD MT 338 KM 117 A ESQ MAIS 13 KM- RONDONÓPOLIS/MT,-12.4967,-56.7382
Amaggi,Amaggi Exp Imp Ltda–Grupo III,Mourão,"ROD BR 070 KM 349, CAMPO VERDE-MT",-15.4738,- 54.9054
Amaggi,Amaggi Exp Imp Ltda–Grupo III,Mutum,"ROD BR 070 KM 322 + 20KM A DIREITA, DOM AQUINO-MT",-15.4043,- 54.6051
Amaggi,Amaggi Exp Imp Ltda–Grupo III,Nossa Senhora Aparecida,"ROD DOS PIONEIROS MT 222 S/N, IPIRANGA DO NORTE-MT",-11.9215,- 56.1551
Amaggi,Amaggi Exp Imp Ltda–Grupo III,Nova/Horizonte/Passo Fundo,"ROD MT 336 SENTIDO TREVO DO GAUCHO P/ SANTO ANTONIO DO LESTE, KM 20 A ESQUERDA, S/N, SANTO ANTONIO DO LESTE/MT",-14.9278,- 53.8860
Amaggi,Amaggi Exp Imp Ltda–Grupo III,Pirapó,"ROD MT 242, KM 34,8 + 10KM, SORRISO-MT",-12.2178,- 55.8519
Amaggi,Amaggi Exp Imp Ltda–Grupo III,Planta,"ROD MT 235 KM 121 + 45 KM A ESQUERDA, S/N, SAPEZAL-MT",-13.8894,- 58.9020
Amaggi,Amaggi Exp Imp Ltda–Grupo III,Ponte de Pedra/Agrop Boa Vista,"RODOVIA BR 163 KM 102 A DIREITA MAIS 20 KM, RONDONÓPOLIS-MT",-16.7098,- 54.8092
Amaggi,Amaggi Exp Imp Ltda–Grupo III,Primavera/Flor do Campo,"ROD MT 130 KM 165, 40 KM DE PVA DO LESTE SENTIDO PARANATINGA - S/N - ENTRADA A DIREITA - PRIMAVERA DO LESTE",-15.2580,- 54.1440
Amaggi,Amaggi Exp Imp Ltda–Grupo III,Quatrilho,"LINHA MOROCÓ, KM 55 S/N, SORRISO – MT",-13.3600,- 55.6689
Amaggi,Amaggi Exp Imp Ltda–Grupo III,Reata/Goiás,"RODOVIA MT 430 KM 59 A DIREITA MAIS 12 KM ATE A SEDE, CONFRESA-MT",-10.3552,- 52.4000
Amaggi,Amaggi Exp Imp Ltda–Grupo III,Reunidas São Roberto,"LINHA PAU OCO À 30 KM A ESQUERDA, RONDONÓPOLIS-MT",-12.6097,- 55.5120
Amaggi,Amaggi Exp Imp Ltda–Grupo III,Rio Bonito,"ROD MT 140 SENTIDO PARANATNGA 7 KM + 2 A ESQUERDA, S/N, SORRISO- MT",-13.5218,- 55.0770
Amaggi,Amaggi Exp Imp Ltda–Grupo III,Santa Rita,"ROD MT 322, S/N°, MATUPÁ-MT",-10.4447,- 54.1320
Amaggi,Amaggi Exp Imp Ltda–Grupo III,Santin Cavalcante,"ROD MT 404 KM 40, SORRISO-MT",-12.8816,- 55.5958
Amaggi,Amaggi Exp Imp Ltda–Grupo III,São Miguel SM5,"RODOVIA BR 163 KM 35, ITIQUIRA-MT",-17.1954,- 54.5083
Amaggi,Amaggi Exp Imp Ltda–Grupo III,Tanguro,"ROD MT 320 KM 104 MAIS 20 KM A DIREITA, QUERENCIA-MT","-12,8419","-52,3886"
Amaggi,Amaggi Exp Imp Ltda–Grupo III,Três Rodas da Barra/São Luiz/Beira Rio,"ROD MT 322 A 25 KM DA SEDE, DISTRITO DE ESPIGÃO DO LESTE, SÃO FELIX DO ARAGUAIA-MT",-11.5182,- 52.4129
Aliança da Terra,Aliança da Terra Grupo IV,Água Santa,"Rodovia BR 452, Km 258, CEP: 38170-000, Caixa Postal 21, Perdizes – MG – Brasil","-47,364068","-19,36025"
Aliança da Terra,Aliança da Terra Grupo IV,Bandeirantes,"Rodovia GO 220, Km 35, esquerda 20 Km, Zona Rural, CEP: 75.915-000, Montividiu – GO – Brasil","-51,367197","-17,42317"
Aliança da Terra,Aliança da Terra Grupo IV,Boa Esperança,"Rodovia GO 174, Km 39, + 20 Km à direita, Rio Verde – GO – Brasil","-50,985993","-17,373805"
Aliança da Terra,Aliança da Terra Grupo IV,Boa Vista,"Rodovia GO 405, CEP: 75.980-000, Paraúna – GO – Brasil","-51,461452","-17,354913"
Aliança da Terra,Aliança da Terra Grupo IV,Bom Jardim e Primavera,"Rodovia GO 220, Km 27, Caixa Postal 515, CEP: 75.901-970, Montividiu – GO – Brasil","-51,461452","-17,354913"
Aliança da Terra,Aliança da Terra Grupo IV,Bom Jardim (Dorothea),"Rodovia Montividiu-Caiapônia, Km 15 à direita, CEP: 75.915-000, Zona Rural, Montividiu – GO – Brasil","-51,32331","-17,286756"
Aliança da Terra,Aliança da Terra Grupo IV,Bom Jardim (Marcelo),"Rodovia GO 220, Km 15 à direita, CEP: 75.980-000, Zona Rural, Montividiu – GO – Brasil","-51,329665","-17,281813"
Aliança da Terra,Aliança da Terra Grupo IV,Brasilanda,"Rodovia GO 174, Km 40 + 1 Km à esquerda, Rio Verde – GO – Brasil","-51,275933","-17,492133"
Aliança da Terra,Aliança da Terra Grupo IV,Cachoeirinha,"Rodovia GO 220, Km 60, CEP: 75.850-000, Zona Rural, Caiapônia – GO – Brasil","-51,645517","-17,238443"
Aliança da Terra,Aliança da Terra Grupo IV,Cana Verde,"Rodovia GO 174, Km 90, CEP: 75.850-000, Zona Rural, Rio Verde – GO – Brasil","-51,118167","-17,069333"
Aliança da Terra,Aliança da Terra Grupo IV,DME,"Rodovia MG 410, Km 51, Zona Rural, Presidente Olegário – MG – Brasil","-46,426303","-18,072217"
Aliança da Terra,Aliança da Terra Grupo IV,Gameleira,"Rodovia MG 410, Km 51, Presidente Olegário – MG – Brasil","-46,35671","-17,836257"
Aliança da Terra,Aliança da Terra Grupo IV,Mata do Lobo,"Rodovia BR 452, Km 41 à direita, Rio Verde – GO – Brasil","-50,736345","-18,121277"
Aliança da Terra,Aliança da Terra Grupo IV,Mauá,"Rodovia GO 174, Km 60 – Montividiu – GO – Brasil","-51,344025","-17,235353"
Aliança da Terra,Aliança da Terra Grupo IV,Monte Alegre,"Avenida José Walter, nº 845, Setor Morada do Sol, CEP:75.908-780, Rio Verde – GO – Brasil","-51,42451","-17,49837"
Aliança da Terra,Aliança da Terra Grupo IV,Monte Alegre/ Pindaíbas,"Rodovia GO 333, Km 45, Rio Verde – GO – Brasil","-50,821303","-17,402428"
Aliança da Terra,Aliança da Terra Grupo IV,Pai Manoel,"Rodovia BR 060, Km 425, Rio Verde – GO – Brasil","-51,28907","-17,739327"
Aliança da Terra,Aliança da Terra Grupo IV,Paraíso do Rio Preto,"Rodovia BR 452, Km 41, Zona Rural, Rio Verde – GO – Brasil","-50,792807","-18,066978"
Aliança da Terra,Aliança da Terra Grupo IV,Paraíso Rio Preto e Renala,"Rodovia BR 452, Km 01, Zona Rural, Rio Verde – GO – Brasil","-50,787721","-18,083"
Aliança da Terra,Aliança da Terra Grupo IV,Santa Fé,"Zona Rural, Uberlândia – MG – Brasil","-48,03494","-19,222047"
Aliança da Terra,Aliança da Terra Grupo IV,Santa Mônica e Felicidade,"Rodovia BR 060, Km 373 + 3 Km à esquerda, CEP: 75.900-000, Zona Rural, Rio Verde – GO – Brasil","-50,812352","-17,728242"
Aliança da Terra,Aliança da Terra Grupo IV,Santa Rita e arrendamento,"Rodovia GO 050, Km 14, Zona Rural, CEP 75.980-000, Paraúna – GO – Brasil","-50,525807","-17,204747"
Aliança da Terra,Aliança da Terra Grupo IV,São Francisco,"Rodovia BR 060, Km 422 + à direita 60 Km, Zona Rural, Rio Verde – GO – Brasil","-51,601532","-17,492395"
Aliança da Terra,Aliança da Terra Grupo IV,São João,"Rodovia 365, Km 351, Zona Rural, Varjão de Minas / MG – Brasil","-46,056212","-18,42833"
Aliança da Terra,Aliança da Terra Grupo IV,São José,"Rodovia GO 050, Km 227 + 5 Km à esquerda, Zona Rural, Rio Verde – GO – Brasil","-51,078808","-17,206031"
Aliança da Terra,Aliança da Terra Grupo IV,São Sebastião,"Rodovia GO 174, Km 40 + 1 Km à esquerda + 32 Km, Rio Verde – GO – Brasil","-51,464028","-17,524475"
Aliança da Terra,Aliança da Terra Grupo IV,São Tomaz,"Rodovia BR 060, Km 407 à esquerda, Zona Rural, Rio Verde – GO – Brasil","-51,115422","-17,819058"
Aliança da Terra,Aliança da Terra Grupo IV,Segredo,"Rodovia GO 174, Km 39, à esquerda 38 Km, Zona Rural, Rio Verde – GO – Brasil","-47,707017","-18,861594"
Aliança da Terra,Aliança da Terra Grupo IV,Speggiorini,"Rodovia 365, Km 556 + 7 Km, Estrela do Sul / MG – Brasil","-47,707017","-18,861594"
Aliança da Terra,Aliança da Terra Grupo IV,Tropical,"Rodovia GO 220, Km 21,5 sentido Montividiu-Caiapônia, Zona Rural, CEP 75.915-000, Montividiu – GO – Brasil","-51,403618","-17,394317"
Aliança da Terra,Aliança da Terra Grupo IV,Vargem Grande,"Rodovia GO 220, Km 17, Montividiu – GO – Brasil","-51,483038","-17,371451"
Aliança da Terra,Aliança da Terra Grupo IV,"Vargem Grande, Planalto Verde e Unidas","Rodovia BR 452, Km 01, Zona Rural, Rio Verde – GO – Brasil","-51,58419667","-17,43054833"
Aliança da Terra,Aliança da Terra Grupo IV,Vitória,"Rodovia GO 174, Km 45 à esquerda (Cana Verde), após o trevo de Montividiu, Zona Rural, Rio Verde – GO – Brasil","-51,475864","-17,43818"
Grupo Hervalense,Grupo Hervalense,Hervalense,"Rodovia BR-364 KM-650, Zona rural de Diamantino/MT.",14º11'12.26'',56º37'44.98''O
Grupo Hervalense,Grupo Hervalense,Chapadão,"Rodovia BR-364 KM-695, Zona rural de Diamantino/MT.",14º7'53.17''S,57º0'35.64''O
Grupo Hervalense,Grupo Hervalense,Lagoa do Cervo,"Rodovia BR-364 KM-696, Zona rural de Diamantino/MT.",14º28'4.18''S,56º12'11.80''O
Grupo de Produtores CJ Selecta,Grupo de Produtores CJ Selecta,Agro Verde,"Rod. BR 251, km 943, Fazenda Catingueiro Zona Rural – Unaí/MG","-47,115216","-16,38784"
Grupo de Produtores CJ Selecta,Grupo de Produtores CJ Selecta,Antagordense,"Rod. MG 190, km 74, Iraí de Minas/MG","-47,580682","-18,995999"
