data,cnpj,cnpj_basico,cnpj_ordem,cnpj_dv,identificador_matriz_filial,nome_fantasia,situacao_cadastral,data_situacao_cadastral,motivo_situacao_cadastral,nome_cidade_exterior,id_pais,data_inicio_atividade,cnae_fiscal_principal,cnae_fiscal_secundaria,sigla_uf,id_municipio,id_municipio_rf,tipo_logradouro,logradouro,numero,complemento,bairro,cep,ddd_1,telefone_1,ddd_2,telefone_2,ddd_fax,fax,email,situacao_especial,data_situacao_especial,cnpj_basico_1,razao_social,natureza_juridica,capital_social,porte
2023-02-15,04933673000236,04933673,0002,36,2,,8,2012-11-28,2,,,2003-04-01,4649401,"4665600,4669999,4637199,4639701,4930202,6463800,8299799",SP,3550308,7107,AVENIDA,ALEXANDRE MACKENZIE,166,      D,JAGUARE,05322000,11,52126379,47,33312023,47,33312023,robson.wolf@bunge.com,,,04933673,BUNGE FOOD SERVICE COMERCIO E SERVICOS LTDA,2062,24658952.0,5
2023-02-15,12657869000516,12657869,0005,16,2,LOUIS DREYFUS COMMODITIES AGRICOLA,8,2015-12-01,1,,,2014-06-16,0131800,6810202,SP,3522000,6541,ESTRADA,ITAJU IBITINGA,S/N,LOTE: 01; : FAZENDA MORUMBI;,ZONA RURAL,17260000,11,30396862,11,30396700,11,38143235,gislaine.cruz@ldcom.com,,,12657869,LOUIS DREYFUS COMPANY AGRICOLA S.A.,2054,24690538.0,5
2023-02-15,05257285000164,05257285,0001,64,1,GEBANA BRASIL,2,2005-09-24,0,,,2002-09-03,1069400,"0111302,0111303,0111399,0115600,0141501,0142300,0163600,1041400,1062700,1064300,1066000,1099699,2013401,2833000,4611700,4617600,4622200,4623108,4623199,4632001,4632002,4632003,4637102,4637199,4661300,4663000,4669999,4683400,4729699,7210000,7490103,7490104",PR,4104501,7487,AVENIDA,RIO GRANDE DO SUL,3520,,SAO JOSE OPERARIO,85760000,46,35521614,,,,,tricia.baerle@gmail.com,,,05257285,CATARATAS DO IGUACU PRODUTOS ORGANICOS LTDA,2062,2927772.0,5
2023-02-15,12657869000516,12657869,0005,16,2,LOUIS DREYFUS COMMODITIES AGRICOLA,8,2015-12-01,1,,,2014-06-16,0131800,6810202,SP,3522000,6541,ESTRADA,ITAJU IBITINGA,S/N,LOTE: 01; : FAZENDA MORUMBI;,ZONA RURAL,17260000,11,30396862,11,30396700,11,38143235,gislaine.cruz@ldcom.com,,,12657869,LOUIS DREYFUS COMPANY AGRICOLA S.A.,2054,35308911.0,5
2023-02-15,38850314001209,38850314,0012,09,2,FAZENDA JURUNA,2,2020-10-14,0,,,2020-10-14,0115600,"0111302,0112101,0113000,0116402,0119905,0139399,0151201,0153902,0154700",MT,5107768,1096,FAZENDA,JURUNA - RODOVIA MT 140,S/N,,ZONA RURAL,78453000,65,35499000,,,,,contador@ggfbrasil.com,,,38850314,GGF AGRO LTDA,2062,210000000.0,5
2023-02-15,09420004000101,09420004,0001,01,1,,8,2018-08-31,4,,,2008-01-11,7490104,"7490103,4693100,6463800",SP,3534203,6785,FAZENDA,MOEMA,S/N,SALA  01,ZONA RURAL,15480000,17,38169000,11,39010940,16,36108110,nauara.toledo@usmoema.com.br,,,09420004,BUNGE COMERCIALIZADORA DE ETANOL LTDA,2062,10001000.0,5
2023-02-15,32772442000142,32772442,0001,42,1,BP BUNGE BIOENERGIA,2,2019-02-14,0,,,2019-02-14,6462000,,SP,3550308,7107,AVENIDA,DAS NACOES UNIDAS,12399,ANDAR 4,BROOKLIN PAULISTA,04578000,11,31921000,,,,,a@a.com,,,32772442,BP BUNGE BIOENERGIA S.A.,2054,4626053774.98,5
2023-02-15,12657869000788,12657869,0007,88,2,LOUIS DREYFUS COMPANY AGRICOLA,8,2017-05-12,1,,,2014-06-16,0131800,6810202,SP,3536703,6835,ESTRADA,VININAL SANTELMO BAURU,S/N,LOTE: 01; : FAZENDA DOS COQUEIRO;,ZONA RURAL,17280000,11,30396862,11,30396700,11,38143235,gislaine.cruz@ldcom.com,,,12657869,LOUIS DREYFUS COMPANY AGRICOLA S.A.,2054,35308911.0,5
2023-02-15,04933673000155,04933673,0001,55,1,,8,2012-11-28,2,,,2002-02-22,4639701,,SP,3550308,7107,AVENIDA,ALEXANDRE MACKENZIE,166,      C,JAGUARE,05322000,11,52126379,47,33312023,11,52126362,robson.wolf@bunge.com,,,04933673,BUNGE FOOD SERVICE COMERCIO E SERVICOS LTDA,2062,24658952.0,5
2023-02-15,93540896000182,93540896,0001,82,1,,2,2004-12-24,0,,,1991-06-12,9420100,,RS,4310009,8701,RUA,CARLOS KRAMMES,216,,ODILA,98200000,,,,,,,,,,93540896,CLUBE AMIGOS DA TERRA,3131,0.0,5
2023-02-15,38850314001128,38850314,0011,28,2,FAZENDA PAU DA ONCA,2,2020-10-14,0,,,2020-10-14,0115600,"0111302,0112101,0113000,0116402,0119905,0139399,0151201,0153902,0154700",MT,5107768,1096,FAZENDA,"PAU DA ONCA - RODOVIA MT 485, KM 100",S/N,,ZONA RURAL,78453000,65,35499000,,,,,contador@ggfbrasil.com,,,38850314,GGF AGRO LTDA,2062,210000000.0,5
2023-02-15,18695035000158,18695035,0001,58,1,,2,2013-08-16,0,,,2013-08-16,6810202,6822600,GO,5208707,9373,AVENIDA,T 63,1296,EDIF  NEW WORLD           ANDAR 16                  SALA  1618,SETOR BUENO,74230100,62,30182700,,,,,dte.sefaz@agrex.com.br,,,18695035,AGREX DO BRASIL PATRIMONIAL S.A.,2054,54393770.1,5
2023-02-15,15143827000121,15143827,0001,21,1,ALZ TERMINAIS PORTUARIOS,2,2012-02-13,0,,,2012-02-13,5231102,,SP,3550308,7107,AVENIDA,BRIGADEIRO FARIA LIMA,1355,ANDAR 14                  CONJ  1402-A,PINHEIROS,01452919,63,32197745,,,,,fiscal@alzgraos.com.br,,,15143827,AMAGGI LOUIS DREYFUS ZEN-NOH TERMINAIS PORTUARIOS S.A.,2054,99433824.0,5
2023-02-15,17393890000303,17393890,0003,03,2,,2,2013-07-26,0,,,2013-07-26,0115600,"0111301,0111302,0111399,0112101,0113000,0116402,0119905,0151201,0152102,0153902,0210101,6810202",MT,5106224,9937,RODOVIA,"BR 163, KM 629 + 15KM A DIREITA, FAZ. MARIA JOSE",S/N,,ZONA RURAL,78450000,65,35491358,65,35492048,65,99858355,financeiro@gmsagro.com.br,,,17393890,GMS AGRONEGOCIOS LTDA,2062,95100366.0,5
2023-02-15,15143827000202,15143827,0002,02,2,ALZ TERMINAIS PORTUARIOS,2,2013-04-10,0,,,2013-04-10,5231102,,MA,2111300,921,AVENIDA,DOS PORTUGUESES,100,LOTE: 04;,ITAQUI,65085582,62,32197745,,,,,fiscal@alzgraos.com.br,,,15143827,AMAGGI LOUIS DREYFUS ZEN-NOH TERMINAIS PORTUARIOS S.A.,2054,99433824.0,5
2023-02-15,05257285000326,05257285,0003,26,2,GEBANA BRASIL,2,2019-03-21,0,,,2019-03-21,1069400,"0111302,0111303,0115600,0141501,0142300,0163600,1032599,1033302,1041400,1062700,1064300,1071600,1081301,1099699,2013402,4622200,4623108,4623199,4632001,4632002,4632003,4633801,4637102,4637199,4661300,4663000,4683400,7490103",PR,4104204,7481,ESTRADA,PARA BALSA NOVA,2550,KM    510,JARDIM ITAQUI,83604140,46,35521614,,,,,tricia.baerle@gmail.com,,,05257285,CATARATAS DO IGUACU PRODUTOS ORGANICOS LTDA,2062,2927772.0,5
2023-02-15,10795255000222,10795255,0002,22,2,CERQUALITY CONSULTORIA,2,2019-07-10,0,,,2019-07-10,7119704,"7020400,7119799,7490199",MA,2101400,727,RUA,RITINHA PEREIRA,25,EDIF  ROYAL CENTER,CENTRO,65800000,71,33412065,62,99970714,71,33412065,edvaldo@alcon-sc.com.br,,,10795255,CERQUALITY CONSULTORIA EM SUSTENTABILIDADE E CERTIFICACAO LTDA,2062,120000.0,3
2023-02-15,38850314000156,38850314,0001,56,1,GGF AGRO,2,2020-09-24,0,,,2020-09-24,0115600,"0111302,0112101,0113000,0116402,0119905,0139399,0151201,0153902,0154700",MT,5105259,9925,AVENIDA,AMAZONAS,1999S,SALA  05,MENINO DEUS,78455000,65,35499000,,,,,contador@ggfbrasil.com,,,38850314,GGF AGRO LTDA,2062,210000000.0,5
2023-02-15,17393890000494,17393890,0004,94,2,,2,2014-01-03,0,,,2014-01-03,0115600,"0111301,0111302,0111399,0112101,0113000,0116402,0119905,0151201,0152102,0153902,0210101,6810202",MT,5107925,9907,FAZENDA,"PROGRESSO, ROD BR 163, KM 699 01 KM A ESQUERDA",S/N,,ZONA RURAL,78890000,65,35491313,,,65,35491358,anapaula@smaniotto.com.br,,,17393890,GMS AGRONEGOCIOS LTDA,2062,95100366.0,5
2023-02-15,38850314000660,38850314,0006,60,2,FAZENDA PALMEIRA,2,2020-10-14,0,,,2020-10-14,0115600,"0111302,0112101,0113000,0116402,0119905,0139399,0151201,0153902,0154700",MT,5105259,9925,FAZENDA,PALMEIRA - RODOVIA IZIDORO VIVALDINO PIVETTA,S/N,,ZONA RURAL,78455000,65,35499000,,,,,contador@ggfbrasil.com,,,38850314,GGF AGRO LTDA,2062,210000000.0,5
2023-02-15,28141519000109,28141519,0001,09,1,TECNOSOL CONSULTORIA RURAL,2,2017-07-10,0,,,2017-07-10,0162899,"0161003,0161099,0230600,4222702,6821801,7020400,7112000,7119701,7490103,7490199,8599604,8599699",GO,5222005,9641,RUA,JOSE YSSY,218,SALA  01,CENTRO,75265000,64,34612446,64,96267441,64,99624882,joldecy@sampaioscontabilidade.com.br,,,28141519,TECNOSOL CONSULTORIA RURAL LTDA,2062,48000.0,1
2023-02-15,12657869000788,12657869,0007,88,2,LOUIS DREYFUS COMPANY AGRICOLA,8,2017-05-12,1,,,2014-06-16,0131800,6810202,SP,3536703,6835,ESTRADA,VININAL SANTELMO BAURU,S/N,LOTE: 01; : FAZENDA DOS COQUEIRO;,ZONA RURAL,17280000,11,30396862,11,30396700,11,38143235,gislaine.cruz@ldcom.com,,,12657869,LOUIS DREYFUS COMPANY AGRICOLA S.A.,2054,24690538.0,5
2023-02-15,12657869000273,12657869,0002,73,2,LOUIS DREYFUS COMPANY AGRICOLA,2,2014-06-16,0,,,2014-06-16,0131800,6810202,SP,3542909,6959,ESTRADA MUNICIPAL,RIBEIRAO BONITO A GUARAPIRANGA,S/N,KM: 7; LOTE: 01; : FAZENDA MONTE BELO;,ZONA RUAL,13580000,13,21279893,11,30397160,,,spo-ldccscfiscal@ldc.com,,,12657869,LOUIS DREYFUS COMPANY AGRICOLA S.A.,2054,24690538.0,5
2023-02-15,13111495000763,13111495,0007,63,2,,8,2013-11-29,2,,,2011-06-27,4622200,,RS,4311403,8729,AVENIDA,BENJAMIN CONSTANT,2939,SALA  B,MONTANHA,95900010,51,33492800,,,,,societario@afisckon-rnc.com.br,,,13111495,AGREX DO BRASIL COMERCIO E EXPORTACAO DE GRAOS LTDA,2062,351495154.0,5
2023-02-15,10795255000141,10795255,0001,41,1,CERQUALITY,2,2009-04-06,0,,,2009-04-06,7119704,"7020400,7119799,7490199",BA,2927408,3849,RUA,CORONEL ALMERINDO REHEM,82,      SALA 206,CAMINHO DAS ARVORES,41820768,71,33412065,,,71,33412065,victor.nogueira@cerquality.com.br,,,10795255,CERQUALITY CONSULTORIA EM SUSTENTABILIDADE E CERTIFICACAO LTDA,2062,120000.0,3
2023-02-15,12657869000354,12657869,0003,54,2,LOUIS DREYFUS COMPANY AGRICOLA,8,2017-05-12,1,,,2014-06-16,0131800,6810202,SP,3518107,6463,RODOVIA,MARECHAL RONDON KM 413,S/N,LOTE: 01; : FAZENDA UNIAO;,ZONA RURAL,16570000,11,30396862,11,30396700,11,38143235,gislaine.cruz@ldcom.com,,,12657869,LOUIS DREYFUS COMPANY AGRICOLA S.A.,2054,24690538.0,5
2023-02-15,12657869000192,12657869,0001,92,1,LOUIS DREYFUS COMPANY AGRICOLA,2,2010-09-30,0,,,2010-09-30,0131800,"3821100,7020400,6499999",SP,3550308,7107,AVENIDA,BRIG FARIA LIMA,1355,ANDAR 13                  SALA  J,JARDIM PAULISTANO,01452919,11,30397160,13,21279893,,,spo-ldccscfiscal@ldc.com,,,12657869,LOUIS DREYFUS COMPANY AGRICOLA S.A.,2054,35308911.0,5
2023-02-15,08948365000154,08948365,0001,54,1,,8,2016-08-31,2,,,2007-07-10,6462000,,SP,3550308,7107,RUA,DIOGO MOREIRA,184,ANDAR: 11; : PARTE;,PINHEIROS,05423010,11,39140475,,,47,33312005,almir.girardi@bunge.com,,,08948365,BUNGE ACUCAR E BIOENERGIA LTDA,2062,6861382027.0,5
2023-02-15,08948365000235,08948365,0002,35,2,,8,2016-08-31,2,,,2012-10-31,6462000,,SP,3550308,7107,RUA,DIOGO MOREIRA,184,ANDAR 12,PINHEIROS,05804900,11,37413188,,,,,,,,08948365,BUNGE ACUCAR E BIOENERGIA LTDA,2062,6861382027.0,5
2023-02-15,12657869000869,12657869,0008,69,2,LOUIS DREYFUS COMPANY AGRICOLA,2,2014-06-16,0,,,2014-06-16,0131800,6810202,SP,3537008,6841,RODOVIA,ANTONIO GIOLO,S/N,KM: 23; LOTE: 01;,ZONA RURAL,14470000,13,21279893,11,30397160,,,spo-ldccscfiscal@ldc.com,,,12657869,LOUIS DREYFUS COMPANY AGRICOLA S.A.,2054,24690538.0,5
2023-02-15,12657869000940,12657869,0009,40,2,LOUIS DREYFUS COMPANY AGRICOLA,8,2017-05-12,1,,,2014-06-16,0131800,6810202,SP,3555901,7219,ESTRADA,PONGAI A URU,S/N,LOTE: 01; : FAZENDA CANAAN;,ZONA RURAL,16650000,11,30396862,11,30396700,11,38143235,gislaine.cruz@ldcom.com,,,12657869,LOUIS DREYFUS COMPANY AGRICOLA S.A.,2054,35308911.0,5
2023-02-15,38850314001390,38850314,0013,90,2,FAZENDA SANTA MARIA DA AMAZONIA,2,2022-08-05,0,,,2022-08-05,0115600,"0111302,0112101,0113000,0116402,0119905,0139399,0151201,0153902,0154700",MT,5107925,9907,AREA,FAZENDA SANTA MARIA DA AMAZONIA - RODOVIA MT 242,SN,KM    24,AREA RURAL DE SORRISO,78898899,65,35499000,,,,,contador@ggfbrasil.com,,,38850314,GGF AGRO LTDA,2062,210000000.0,5
2023-02-15,12657869000605,12657869,0006,05,2,LOUIS DREYFUS COMPANY AGRICOLA,2,2014-06-16,0,,,2014-06-16,0131800,6810202,SP,3525805,6617,ESTRADA,VICINAL JULIO MESQUITA A GUAIMBE,S/N,LOTE: 01; KM: 10; : FAZENDA CAMPOS NOVOS;,ZONA RURAL,17550000,13,21279893,11,30397160,,,spo-ldccscfiscal@ldc.com,,,12657869,LOUIS DREYFUS COMPANY AGRICOLA S.A.,2054,35308911.0,5
2023-02-15,12431447000102,12431447,0001,02,1,SLC AGRICOLA PEJUCARA LTDA.,8,2014-09-01,2,,,2010-07-30,0112101,"0116499,4623199,4621400,4622200,4623103,0111399,0111302,0115600",MT,5103502,9069,RODOVIA,BR 364,S/N,      KM 713                    + 20 KM A DIREITA,ZONA RURAL,78400000,51,32307856,51,32307886,51,32307750,marcia.castro@slcagricola.com.br,,,12431447,SLC AGRICOLA PEJUCARA LTDA.,2062,50000000.0,5
2023-02-15,17393890000222,17393890,0002,22,2,,2,2013-07-26,0,,,2013-07-26,0115600,"0111301,0111302,0111399,0112101,0113000,0116402,0119905,0151201,0152102,0153902,0210101,6810202",MT,5105259,9925,AVENIDA,UNIVERSITARIA,710-W,,PARQUE DAS EMAS,78455000,65,35491358,65,35492048,65,35491358,,,,17393890,GMS AGRONEGOCIOS LTDA,2062,95100366.0,5
2023-02-15,13111495000178,13111495,0001,78,1,,8,2013-11-29,2,,,2010-12-10,4622200,,SP,3550308,7107,AVENIDA,PAULISTA,1294,ANDAR 23                  SALA  236,BELA VISTA,01310915,11,32651020,11,32651064,11,32651144,eduardo.hirano@mitsubishicorp.com,,,13111495,AGREX DO BRASIL COMERCIO E EXPORTACAO DE GRAOS LTDA,2062,351495154.0,5
2023-02-15,38850314000407,38850314,0004,07,2,FAZENDA RINCAO,2,2020-10-14,0,,,2020-10-14,0115600,"0111302,0112101,0113000,0116402,0119905,0139399,0151201,0153902,0154700",MT,5101902,9873,FAZENDA,RINCAO - RODOVIA MT 364,S/N,,ZONA RURAL,78350000,65,35499000,,,,,contador@ggfbrasil.com,,,38850314,GGF AGRO LTDA,2062,210000000.0,5
2023-02-15,38850314000580,38850314,0005,80,2,FAZENDA RINCAO,2,2020-10-14,0,,,2020-10-14,0115600,"0111302,0112101,0113000,0116402,0119905,0139399,0151201,0153902,0154700",MT,5102637,9777,RODOVIA,BR 364,S/N,,ZONA RURAL,78360000,65,35499000,,,,,contador@ggfbrasil.com,,,38850314,GGF AGRO LTDA,2062,210000000.0,5
2023-02-15,13111495000259,13111495,0002,59,2,,8,2013-11-29,2,,,2011-06-15,4622200,,MT,5106224,9937,RODOVIA,BR 163,S/N,      KM 585              SALA  1,ZONA RURAL,78450000,11,32651106,,,,,rodrigo.modesto@agrex.com.br,,,13111495,AGREX DO BRASIL COMERCIO E EXPORTACAO DE GRAOS LTDA,2062,351495154.0,5
2023-02-15,12657869000940,12657869,0009,40,2,LOUIS DREYFUS COMPANY AGRICOLA,8,2017-05-12,1,,,2014-06-16,0131800,6810202,SP,3555901,7219,ESTRADA,PONGAI A URU,S/N,LOTE: 01; : FAZENDA CANAAN;,ZONA RURAL,16650000,11,30396862,11,30396700,11,38143235,gislaine.cruz@ldcom.com,,,12657869,LOUIS DREYFUS COMPANY AGRICOLA S.A.,2054,24690538.0,5
2023-02-15,26365040000120,26365040,0001,20,1,,2,2016-10-10,0,,,2016-10-10,6461100,,MT,5103403,9067,AVENIDA,ANDRE ANTONIO MAGGI,303,ANDAR 5,CENTRO POLITICO ADMINISTRATIVO,78049080,65,36455000,65,36455157,65,36455000,derli.halberstadt@amaggi.com.br,,,26365040,AMAGGI PARTICIPACOES FINANCEIRAS LTDA.,2062,50173175.0,5
2023-02-15,05257285000245,05257285,0002,45,2,GEBANA BRASIL,2,2007-02-07,0,,,2007-02-07,4632003,,PR,4118204,7745,AVENIDA,BENTO MUNHOZ DA ROCHA NETO,2882,ARMAZEM,JARDIM AMERICA,83212000,46,35521614,46,88039803,46,35523118,colussi@gebana.com.br,,,05257285,CATARATAS DO IGUACU PRODUTOS ORGANICOS LTDA,2062,2927772.0,5
2023-02-15,17393890000575,17393890,0005,75,2,,2,2022-07-04,0,,,2022-07-04,0115600,"0111301,0111302,0111399,0112101,0113000,0116402,0119905,0151201,0152102,0153902,0210101,6810202",MT,5108907,111,RODOVIA,"MT 160, 62KM MAIS 2KM A DIREITA, FAZENDA CRISTALINA",S/N,,ZONA RURAL,78445000,65,35491358,65,35492048,,,kontax@terra.com.br,,,17393890,GMS AGRONEGOCIOS LTDA,2062,95100366.0,5
2023-02-15,12657869000435,12657869,0004,35,2,LOUIS DREYFUS COMPANY AGRICOLA,2,2014-06-16,0,,,2014-06-16,0131800,6810202,SP,3539400,6889,ESTRADA MUNICIPAL,PIRATININGA FAZ SILVERIA,S/N,LOTE: 01;,ZONA RUAL,17490001,13,21279893,11,30397160,,,spo-ldccscfiscal@ldc.com,,,12657869,LOUIS DREYFUS COMPANY AGRICOLA S.A.,2054,24690538.0,5
2023-02-15,12657869001083,12657869,0010,83,2,LOUIS DREYFUS COMPANY AGRICOLA,2,2014-06-16,0,,,2014-06-16,0131800,6810202,SP,3502002,6139,ESTRADA,ANALANDIA A VISCONDE,S/N,LOTE: 01; : FAZENDA BOCAINA;,ZONA RURAL,13550000,13,21279893,11,30397160,,,spo-ldccscfiscal@ldc.com,,,12657869,LOUIS DREYFUS COMPANY AGRICOLA S.A.,2054,35308911.0,5
2023-02-15,02433189000131,02433189,0001,31,1,,2,2001-02-25,0,,,1998-03-23,1066000,"0134200,0161003,0163600,1081301,4621400,4622200,4632001,4789099,4930202",MG,3158300,5165,RODOVIA,BR 265 KM 412,S/N,GALPAO: A;,RODOVIA,37195000,35,38581153,35,38581291,35,38581153,contabilidade@ag.com.br,,,02433189,SAAG COMERCIAL EXPORTADORA LTDA,2062,2702747.0,5
2023-02-15,13111495000330,13111495,0003,30,2,,8,2013-11-29,2,,,2011-06-22,4622200,,GO,5213756,9933,RODOVIA,GO 220,S/N,      KM 01,ZONA RURAL,75919970,11,31063020,,,,,,,,13111495,AGREX DO BRASIL COMERCIO E EXPORTACAO DE GRAOS LTDA,2062,351495154.0,5
2023-02-15,09420004000284,09420004,0002,84,2,,8,2018-08-31,4,,,2016-04-28,7490104,"4693100,6463800,7490103",MA,2111300,921,RUA,AZULOES,01,SALA  1302                EDIF  OFFICE TOWER              COLUNA 02,JARDIM RENASCENCA,65075060,98,33027646,98,88102907,,,atendimento@invistacontabil.com.br,,,09420004,BUNGE COMERCIALIZADORA DE ETANOL LTDA,2062,10001000.0,5
2023-02-15,12657869000354,12657869,0003,54,2,LOUIS DREYFUS COMPANY AGRICOLA,8,2017-05-12,1,,,2014-06-16,0131800,6810202,SP,3518107,6463,RODOVIA,MARECHAL RONDON KM 413,S/N,LOTE: 01; : FAZENDA UNIAO;,ZONA RURAL,16570000,11,30396862,11,30396700,11,38143235,gislaine.cruz@ldcom.com,,,12657869,LOUIS DREYFUS COMPANY AGRICOLA S.A.,2054,35308911.0,5
2023-02-15,04933673000317,04933673,0003,17,2,BUNGE FOOD SERVICE COMERCIO E SERVICOS LTDA,8,2012-11-28,2,,,2009-08-26,4637199,,PR,4119905,7777,RODOVIA,"BR 376 KM 506,5",S/N,,DISTRITO INDUSTRIAL,84043450,42,32191029,42,32191020,42,32191001,roselene.formann@bunge.com,,,04933673,BUNGE FOOD SERVICE COMERCIO E SERVICOS LTDA,2062,24658952.0,5
2023-02-15,38850314000903,38850314,0009,03,2,FAZENDA CRISTO REI,2,2020-10-14,0,,,2020-10-14,0115600,"0111302,0112101,0113000,0116402,0119905,0139399,0151201,0153902,0154700",MT,5108006,9763,FAZENDA,CRISTO REI - RODOVIA MT 488,S/N,,ZONA RURAL,78573000,65,35499000,,,,,contador@ggfbrasil.com,,,38850314,GGF AGRO LTDA,2062,210000000.0,5
